lost,opponent,o_rank
False,beastcoast,1117
False,beastcoast,1117
True,Thunder Predator,1228
True,Thunder Predator,1228
False,Quincy Crew,1307
True,Quincy Crew,1307
False,CR4ZY,1163
False,CR4ZY,1163
False,Plasma1337x VitaPLUR gum,932
False,Plasma1337x VitaPLUR gum,932
False,Midas Club,926
False,Midas Club,926
False,PlusOne,1000
False,PlusOne,1000
True,FAMILY TEAM,1119
True,FAMILY TEAM,1119
False,Nemiga Gaming,1131
False,Nemiga Gaming,1131
True,Evil Geniuses,1217
False,Evil Geniuses,1217
False,TEAM HEROIC,1060
False,TEAM HEROIC,1060
True,Nemiga Gaming,1131
True,Nemiga Gaming,1131
True,KHAN,1087
False,KHAN,1087
True,KHAN,1087
True,NOVA,1133
True,NOVA,1133
