lost,opponent,o_rank
False,T1,1180
True,T1,1180
False,TNC Predator,1198
True,TNC Predator,1198
True,Execration,956
False,Execration,956
False,New Esports,1128
True,New Esports,1128
True,Reality Rift,1076
False,Reality Rift,1076
True,Reality Rift,1076
True,BOOM Esports,1314
False,BOOM Esports,1314
False,Cignal Ultra,911
False,Cignal Ultra,911
True,Neon Esports,1252
True,Neon Esports,1252
False,Execration,956
False,Execration,956
True,Geek Fam,1309
False,Fnatic,1391
True,Fnatic,1391
True,T1,1180
False,TNC Predator,1198
False,TNC Predator,1198
False,Reality Rift,1076
False,Reality Rift,1076
True,Geek Fam,1309
False,Geek Fam,1309
True,Geek Fam,1309
True,BOOM Esports,1314
True,BOOM Esports,1314
