lost,opponent,o_rank
False,Virtus.pro,1329
False,Virtus.pro,1329
True,FlyToMoon,1355
True,FlyToMoon,1355
False,Ninjas in Pyjamas,1195
False,Ninjas in Pyjamas,1195
True,Team Liquid,1345
True,Team Liquid,1345
True,Team Empire,1085
True,Team Empire,1085
True,Team Liquid,1345
True,Team Liquid,1345
True,OG,1304
True,OG,1304
False,Ninjas in Pyjamas,1195
False,Ninjas in Pyjamas,1195
True,Team Secret,1561
True,Team Secret,1561
True,Team Secret,1561
False,VP.Prodigy,1339
False,VP.Prodigy,1339
False,Team Secret,1561
False,Team Secret,1561
True,Team Secret,1561
False,OG,1304
False,OG,1304
False,VP.Prodigy,1339
False,VP.Prodigy,1339
False,FlyToMoon,1355
True,FlyToMoon,1355
False,Winstrike Team,1104
False,Winstrike Team,1104
False,HellRaisers,1181
False,HellRaisers,1181
True,Cyber Legacy,1105
False,Cyber Legacy,1105
True,Cyber Legacy,1105
