lost,opponent,o_rank
True,Geek Fam,1309
True,Geek Fam,1309
True,Geek Fam,1309
False,Fnatic,1391
False,Fnatic,1391
True,Geek Fam,1309
True,Geek Fam,1309
False,Geek Fam,1309
False,Neon Esports,1252
False,Neon Esports,1252
False,Reality Rift,1076
False,Reality Rift,1076
False,Cignal Ultra,911
False,Cignal Ultra,911
True,Fnatic,1391
False,Fnatic,1391
False,Neon Esports,1252
True,Neon Esports,1252
False,Adroit,1174
True,Adroit,1174
True,Dota Hero,1171
False,Dota Hero,1171
True,Dota Hero,1171
False,Team Sirius,1194
False,Team Sirius,1194
False,Neon Esports,1252
False,Neon Esports,1252
False,Reality Rift,1076
False,Reality Rift,1076
False,T1,1180
False,T1,1180
False,Execration,956
False,Execration,956
True,Team Sirius,1194
False,Team Sirius,1194
False,Geek Fam,1309
True,Geek Fam,1309
True,TNC Predator,1198
False,TNC Predator,1198
False,RISE Esport,1006
False,RISE Esport,1006
False,Dota Hero,1171
True,Dota Hero,1171
False,Ocean,1000
False,Ocean,1000
True,TNC Predator,1198
True,TNC Predator,1198
True,Fnatic,1391
True,Fnatic,1391
False,Fnatic,1391
True,Fnatic,1391
False,Geek Fam,1309
False,Geek Fam,1309
True,Fnatic,1391
True,Fnatic,1391
False,Adroit,1174
False,Adroit,1174
