lost,opponent,o_rank
True,Sparking Arrow Gaming,1316
True,Sparking Arrow Gaming,1316
False,Sparking Arrow Gaming,1316
False,StarLucK.Fly,1005
False,StarLucK.Fly,1005
False,StarLucK.Fly,1005
False,PSG.LGD,1567
False,PSG.LGD,1567
True,INVICTUS GAMING,1496
True,INVICTUS GAMING,1496
True,Royal Never Give Up,1373
True,Royal Never Give Up,1373
False,Royal Never Give Up,1373
True,Team Aster,1297
True,Team Aster,1297
True,PSG.LGD,1567
True,PSG.LGD,1567
False,PSG.LGD,1567
False,Sparking Arrow Gaming,1316
False,Sparking Arrow Gaming,1316
False,Sparking Arrow Gaming,1316
False,INVICTUS GAMING,1496
False,INVICTUS GAMING,1496
False,EHOME,1376
True,EHOME,1376
False,EHOME,1376
