lost,opponent,o_rank
True, EXTREMUM,1174
False, EXTREMUM,1174
False,Cyberium,978
False,Cyberium,978
True,Quincy Crew,1307
True,Quincy Crew,1307
True,Quincy Crew,1307
False,Evil Geniuses,1217
True,Quincy Crew,1307
True,Quincy Crew,1307
False,business associates,1247
False,business associates,1247
False,Quincy Crew,1307
False,Evil Geniuses,1217
True,Evil Geniuses,1217
False,Evil Geniuses,1217
False,OG.Seed,1263
False,OG.Seed,1263
True,OG.Seed,1263
False,beastcoast,1117
True,beastcoast,1117
False,beastcoast,1117
False,Thunder Predator,1228
True,Thunder Predator,1228
False,Thunder Predator,1228
True,ViKin.gg,1286
False,ViKin.gg,1286
True,ViKin.gg,1286
False,TEAM HEROIC,1060
False,TEAM HEROIC,1060
