lost,opponent,o_rank
True,Fnatic,1391
True,Fnatic,1391
True,Fnatic,1391
False,BOOM Esports,1314
True,BOOM Esports,1314
False,BOOM Esports,1314
True,Fnatic,1391
True,Fnatic,1391
False,Neon Esports,1252
False,Neon Esports,1252
False,TNC Predator,1198
False,Team Sirius,1194
True,TNC Predator,1198
False,TNC Predator,1198
True,Team Sirius,1194
False,Team Sirius,1194
False,RISE Esport,1006
True,RISE Esport,1006
True,BOOM Esports,1314
False,BOOM Esports,1314
False,Ocean,1000
False,Ocean,1000
False,THE BEST TEAM,1014
True,THE BEST TEAM,1014
False,Execration,956
False,Neon Esports,1252
True,Fnatic,1391
True,Fnatic,1391
True,Fnatic,1391
False,BOOM Esports,1314
True,BOOM Esports,1314
False,BOOM Esports,1314
True,Fnatic,1391
True,Fnatic,1391
False,Neon Esports,1252
False,Neon Esports,1252
False,TNC Predator,1198
False,Team Sirius,1194
True,TNC Predator,1198
False,TNC Predator,1198
True,Team Sirius,1194
False,Team Sirius,1194
False,RISE Esport,1006
True,RISE Esport,1006
True,BOOM Esports,1314
False,BOOM Esports,1314
False,Ocean,1000
False,Ocean,1000
False,THE BEST TEAM,1014
True,THE BEST TEAM,1014
False,Execration,956
False,Neon Esports,1252
True,Fnatic,1391
True,Fnatic,1391
True,Fnatic,1391
False,BOOM Esports,1314
True,BOOM Esports,1314
False,BOOM Esports,1314
True,Fnatic,1391
True,Fnatic,1391
False,Neon Esports,1252
False,Neon Esports,1252
False,TNC Predator,1198
False,Team Sirius,1194
True,TNC Predator,1198
False,TNC Predator,1198
True,Team Sirius,1194
False,Team Sirius,1194
False,RISE Esport,1006
True,RISE Esport,1006
True,BOOM Esports,1314
False,BOOM Esports,1314
