lost,opponent,o_rank
True,beastcoast,1117
True,beastcoast,1117
False,business associates,1247
True,business associates,1247
False,CR4ZY,1163
False,Thunder Predator,1228
True,Thunder Predator,1228
False,Midas Club,926
False,Midas Club,926
False,PlusOne,1000
False,PlusOne,1000
False,Quincy Crew,1307
False,Quincy Crew,1307
False,Plasma1337x VitaPLUR gum,932
False,Plasma1337x VitaPLUR gum,932
False,4 Zoomers,1199
True,4 Zoomers,1199
True,CR4ZY,1163
False,business associates,1247
False,business associates,1247
True,business associates,1247
True,Thunder Predator,1228
True,Thunder Predator,1228
True,business associates,1247
True,business associates,1247
False,business associates,1247
False,beastcoast,1117
True,beastcoast,1117
False,beastcoast,1117
True,CR4ZY,1163
False,CR4ZY,1163
True,CR4ZY,1163
True,Quincy Crew,1307
True,Quincy Crew,1307
