lost,opponent,o_rank
False,Cyberium,978
False,CYBERIUM.S,1011
False,CYBERIUM.S,1011
False,Team Lotus,971
False,Team Lotus,971
True,OG.Seed,1263
True,OG.Seed,1263
False,4 Zoomers,1199
False,4 Zoomers,1199
False,NOVA,1133
False,NOVA,1133
True,NOVA,1133
True,Team Empire Hope,1299
True,Team Empire Hope,1299
True, EXTREMUM,1174
True, EXTREMUM,1174
True,TEAM HEROIC,1060
True,TEAM HEROIC,1060
True,Team Empire Hope,1299
False,Team Empire Hope,1299
True,Team Empire Hope,1299
False,OG.Seed,1263
True,OG.Seed,1263
False,OG.Seed,1263
True,ViKin.gg,1286
True,ViKin.gg,1286
False,ViKin.gg,1286
False,Gambit Esports,1090
False,Gambit Esports,1090
True,Team Secret,1561
True,Team Secret,1561
True,Natus Vincere,1210
True,Natus Vincere,1210
True,Team Liquid,1345
True,Team Liquid,1345
