lost,opponent,o_rank
False,Team Empire,1085
True,Team Empire,1085
False,Team Empire,1085
False,Virtus.pro,1329
False,Virtus.pro,1329
True,Team Liquid,1345
True,Team Liquid,1345
False,Alliance,1293
False,Alliance,1293
False,Ninjas in Pyjamas,1195
False,Ninjas in Pyjamas,1195
True,Winstrike Team,1104
True,Winstrike Team,1104
False,Team Unique,1144
False,Team Unique,1144
True,Team Secret,1561
True,Team Secret,1561
False,FlyToMoon 2.0,991
False,FlyToMoon 2.0,991
False,Team Empire Hope,1299
False,Team Empire Hope,1299
False,ViKin.gg,1286
False,ViKin.gg,1286
False,Cyber Legacy,1105
False,Cyber Legacy,1105
False,Winstrike Team,1104
True,Alliance,1293
False,Alliance,1293
True,VP.Prodigy,1339
False,VP.Prodigy,1339
True,VP.Prodigy,1339
True,Virtus.pro,1329
False,Virtus.pro,1329
True,Virtus.pro,1329
False,Ninjas in Pyjamas,1195
False,Ninjas in Pyjamas,1195
False,OG,1304
False,OG,1304
True,OG,1304
