lost,opponent,o_rank
True,BOOM Esports,1314
True,BOOM Esports,1314
False,Neon Esports,1252
False,Neon Esports,1252
False,Reality Rift,1076
False,Reality Rift,1076
True,Geek Fam,1309
True,Geek Fam,1309
False,Geek Fam,1309
False,Neon Esports,1252
True,Neon Esports,1252
False,Geek Fam,1309
False,Geek Fam,1309
False,BOOM Esports,1314
True,BOOM Esports,1314
False,Cignal Ultra,911
False,Cignal Ultra,911
False,Dota Hero,1171
False,Dota Hero,1171
False,Dota Hero,1171
False,Dota Hero,1171
False,Dota Hero,1171
False,Team Sirius,1194
False,Team Sirius,1194
True,Reality Rift,1076
False,Reality Rift,1076
True,Adroit,1174
False,Adroit,1174
False,Execration,956
False,Execration,956
False,T1,1180
False,T1,1180
False,Clcombat Team,1149
False,Clcombat Team,1149
True,Clcombat Team,1149
False,Reality Rift,1076
False,Reality Rift,1076
False,TNC Predator,1198
True,TNC Predator,1198
False,Aster.Aries,1024
False,Aster.Aries,1024
True,Neon Esports,1252
False,Neon Esports,1252
False,LGD.international,1010
False,LGD.international,1010
False,BOOM Esports,1314
False,BOOM Esports,1314
True,BOOM Esports,1314
False,BOOM Esports,1314
False,BOOM Esports,1314
False,BOOM Esports,1314
False,Geek Fam,1309
False,Geek Fam,1309
