lost,opponent,o_rank
True,MOTIVADE.TRUST GAMING,1195
False,MOTIVADE.TRUST GAMING,1195
True,MOTIVADE.TRUST GAMING,1195
False,BOOM Esports,1314
False,BOOM Esports,1314
False,BOOM Esports,1314
False,BOOM Esports,1314
False,BOOM Esports,1314
True,BOOM Esports,1314
False,PG BARRACX,1065
False,PG BARRACX,1065
True,Reverse Heaven,1111
False,Reverse Heaven,1111
True,Reverse Heaven,1111
False,Execration,956
False,Execration,956
True,Execration,956
False,Fnatic,1391
False,Fnatic,1391
True,Fnatic,1391
True,Fnatic,1391
True,Fnatic,1391
False,Neon Esports,1252
False,Neon Esports,1252
False,Execration,956
False,T1,1180
True,T1,1180
False,Adroit,1174
True,TNC Predator,1198
False,TNC Predator,1198
False,Reality Rift,1076
True,Reality Rift,1076
True,BOOM Esports,1314
False,BOOM Esports,1314
False,Cignal Ultra,911
False,Cignal Ultra,911
True,BOOM Esports,1314
True,BOOM Esports,1314
False,Adroit,1174
True,Adroit,1174
False,Adroit,1174
True,Fnatic,1391
True,Fnatic,1391
