lost,opponent,o_rank
False,FlyToMoon 2.0,991
False,FlyToMoon 2.0,991
True,Team Empire Hope,1299
True,Team Empire Hope,1299
False,Team Empire Hope,1299
True,Team Unique,1144
True,Team Unique,1144
True,Team Liquid,1345
False,Team Liquid,1345
True,Team Liquid,1345
False,Winstrike Team,1104
True,Virtus.pro,1329
True,Virtus.pro,1329
True,Ninjas in Pyjamas,1195
True,Ninjas in Pyjamas,1195
False,OG,1304
False,OG,1304
True,OG,1304
False,Cyber Legacy,1105
False,Cyber Legacy,1105
True,Alliance,1293
True,Alliance,1293
True,VP.Prodigy,1339
True,VP.Prodigy,1339
