lost,opponent,o_rank
False,Vici Gaming,1368
False,Vici Gaming,1368
True,PSG.LGD,1567
True,PSG.LGD,1567
False,PSG.LGD,1567
True,PSG.LGD,1567
False,Royal Never Give Up,1373
False,Royal Never Give Up,1373
False,CDEC ,1392
False,CDEC ,1392
True,PSG.LGD,1567
True,PSG.LGD,1567
True,PSG.LGD,1567
True,PSG.LGD,1567
True,PSG.LGD,1567
False,PSG.LGD,1567
False,PSG.LGD,1567
False,Royal Never Give Up,1373
False,Royal Never Give Up,1373
False,Team Aster,1297
True,Team Aster,1297
False,Team Aster,1297
False,Vici Gaming,1368
False,Vici Gaming,1368
False,EHOME,1376
False,EHOME,1376
True,CDEC ,1392
True,CDEC ,1392
False,Sparking Arrow Gaming,1316
True,Sparking Arrow Gaming,1316
False,Sparking Arrow Gaming,1316
