lost,opponent,o_rank
True,CR4ZY,1163
True,CR4ZY,1163
False, EXTREMUM,1174
False, EXTREMUM,1174
True, EXTREMUM,1174
True,Team Empire Hope,1299
True,Team Empire Hope,1299
False,miaww^^,1108
True,Team Empire Hope,1299
False,CyberUp Team,1005
False,Cyberium,978
False,Cyberium,978
False,Cyberium,978
True,OG.Seed,1263
True,OG.Seed,1263
True,FAMILY TEAM,1119
True,FAMILY TEAM,1119
False,FAMILY TEAM,1119
False,TEAM HEROIC,1060
False,TEAM HEROIC,1060
True,Nemiga Gaming,1131
True,Nemiga Gaming,1131
False,Team Empire Hope,1299
False,Team Empire Hope,1299
False,Team Empire Hope,1299
True,Team Empire Hope,1299
True,Team Empire Hope,1299
False,KHAN,1087
False,KHAN,1087
True,KHAN,1087
False,4 Zoomers,1199
False,4 Zoomers,1199
False,Team Solid,1026
True,SMARACIS eSports,1031
False,Team Empire Hope,1299
True,Team Empire Hope,1299
False,Team Empire Hope,1299
False,Team WP,1024
True,Team WP,1024
