lost,opponent,o_rank
False,Team Veteran,1029
False,Team Veteran,1029
False,Reality Rift,1076
True,Reality Rift,1076
False,Cignal Ultra,911
False,Cignal Ultra,911
True,Fnatic,1391
True,Fnatic,1391
False,Team Strawberry,1098
False,Team Strawberry,1098
False,TNC Predator,1198
True,TNC Predator,1198
False,TNC Predator,1198
True,BOOM Esports,1314
True,BOOM Esports,1314
False,GoodFellaz,1052
False,GoodFellaz,1052
True,GoodFellaz,1052
True,Fnatic,1391
False,Fnatic,1391
False,New Esports,1128
True,New Esports,1128
False,New Esports,1128
True,BOOM Esports,1314
False,BOOM Esports,1314
False,TNC Predator,1198
False,TNC Predator,1198
False,Execration,956
False,Execration,956
False,Cignal Ultra,911
False,Cignal Ultra,911
False,Adroit,1174
False,Adroit,1174
True,Geek Fam,1309
True,Geek Fam,1309
True,BOOM Esports,1314
True,BOOM Esports,1314
False,T1,1180
False,T1,1180
False,Reality Rift,1076
True,Reality Rift,1076
True,Dota Hero,1171
True,Dota Hero,1171
False,Reality Rift,1076
False,Aster.Aries,1024
False,MOTIVADE.TRUST GAMING,1195
False,MOTIVADE.TRUST GAMING,1195
True,MOTIVADE.TRUST GAMING,1195
False,496 Gaming,1072
False,496 Gaming,1072
False,Reality Rift,1076
True,Reality Rift,1076
False,Flower Gaming,1097
False,Flower Gaming,1097
True,Flower Gaming,1097
False,Clcombat Team,1149
False,Clcombat Team,1149
True,LGD.international,1010
False,LGD.international,1010
False,Fnatic,1391
True,Fnatic,1391
True,Elephant,1036
True,Elephant,1036
False,LGD.international,1010
False,LGD.international,1010
True,LGD.international,1010
False,RISE Esport,1006
False,RISE Esport,1006
False,Execration,956
False,Execration,956
False,GoodFellaz,1052
True,GoodFellaz,1052
False,GoodFellaz,1052
False,Busy Gaming,846
False,Busy Gaming,846
True,Busy Gaming,846
False,Typhoon,928
True,dotahero,991
True,Dota Hero,1171
False,Marble,1048
False,Marble,1048
