lost,opponent,o_rank
False,Team Secret,1561
False,Team Secret,1561
False,B8,1004
False,B8,1004
False,ViKin.gg,1286
True,ViKin.gg,1286
False,ViKin.gg,1286
False,Team Unique,1144
False,Team Unique,1144
True,OG,1304
True,OG,1304
False,OG,1304
True,OG,1304
True,OG,1304
False,Team Liquid,1345
False,Team Liquid,1345
True,Team Liquid,1345
False,Ninjas in Pyjamas,1195
False,Ninjas in Pyjamas,1195
True,Team Secret,1561
False,Team Secret,1561
True,Team Secret,1561
False,Team Liquid,1345
True,Team Liquid,1345
False,Team Liquid,1345
True,Team Secret,1561
False,Team Secret,1561
False,Team Liquid,1345
True,VP.Prodigy,1339
False,VP.Prodigy,1339
True,Team Secret,1561
True,Team Secret,1561
False,Team Liquid,1345
False,Team Liquid,1345
True,Team Liquid,1345
False,ViKin.gg,1286
True,ViKin.gg,1286
False,ViKin.gg,1286
False,Team Unique,1144
False,Team Unique,1144
False,Gambit Esports,1090
True,Gambit Esports,1090
False,Gambit Esports,1090
False,Aggressive Mode,1202
False,Aggressive Mode,1202
True,Aggressive Mode,1202
False,Natus Vincere,1210
False,Natus Vincere,1210
