lost,opponent,o_rank
True,ViKin.gg,1286
False,ViKin.gg,1286
True,ViKin.gg,1286
False,B8,1004
False,B8,1004
False,Team Unique,1144
True,Team Unique,1144
False,Team Unique,1144
False,Nigma,1429
False,Nigma,1429
True,Nigma,1429
True,Team Secret,1561
True,Team Secret,1561
True,Team Secret,1561
False,Nigma,1429
False,Nigma,1429
True,Team Secret,1561
False,Team Secret,1561
True,Team Secret,1561
False,Alliance,1293
False,Alliance,1293
True,Alliance,1293
True,Alliance,1293
True,Ninjas in Pyjamas,1195
True,Ninjas in Pyjamas,1195
True,Cyber Legacy,1105
False,Cyber Legacy,1105
True,Cyber Legacy,1105
True,HellRaisers,1181
True,HellRaisers,1181
False,HellRaisers,1181
False,Winstrike Team,1104
True,Winstrike Team,1104
False,Winstrike Team,1104
True,FlyToMoon,1355
True,FlyToMoon,1355
False,FlyToMoon,1355
