lost,opponent,o_rank
True,Scenario,1367
True,Scenario,1367
True,Scenario,1367
False,Scenario,1367
False,ABEROMON RAFT,1085
False,ABEROMON RAFT,1085
True,ABEROMON RAFT,1085
False,DevilTear,1092
False,Butterfly,1012
True,Scenario,1367
True,Scenario,1367
True,Cow boys,1193
True,Iran Lions,1039
False,Iran Lions,1039
False,team experience,1027
False,team experience,1027
False,K4W,1017
False,K4W,1017
False,AsGhaR,1016
False,AsGhaR,1016
False,DeathWish,1064
False,DeathWish,1064
False,Deathwish,989
False,Deathwish,989
False,NEW GENERATION,984
False,Live Record,984
True,Scenario,1367
True,Scenario,1367
True,Scenario,1367
False,Scenario,1367
False,ABEROMON RAFT,1085
False,ABEROMON RAFT,1085
True,ABEROMON RAFT,1085
False,DevilTear,1092
False,Butterfly,1012
True,Scenario,1367
True,Scenario,1367
True,Cow boys,1193
True,Iran Lions,1039
False,Iran Lions,1039
False,team experience,1027
False,team experience,1027
False,K4W,1017
False,K4W,1017
False,AsGhaR,1016
False,AsGhaR,1016
False,DeathWish,1064
False,DeathWish,1064
False,Deathwish,989
False,Deathwish,989
False,NEW GENERATION,984
False,Live Record,984
True,Scenario,1367
True,Scenario,1367
True,Scenario,1367
False,Scenario,1367
False,ABEROMON RAFT,1085
False,ABEROMON RAFT,1085
True,ABEROMON RAFT,1085
False,DevilTear,1092
False,Butterfly,1012
True,Scenario,1367
True,Scenario,1367
True,Cow boys,1193
True,Iran Lions,1039
False,Iran Lions,1039
False,team experience,1027
False,team experience,1027
False,K4W,1017
False,K4W,1017
False,AsGhaR,1016
False,AsGhaR,1016
