time,lost,opponent,o_rank
2020-06-08,False,INVICTUS GAMING,1473
2020-06-08,False,INVICTUS GAMING,1473
2020-06-08,True,INVICTUS GAMING,1473
2020-06-07,False,INVICTUS GAMING,1473
2020-06-05,False,Royal Never Give Up,1364
2020-06-05,False,Royal Never Give Up,1364
2020-06-03,False,INVICTUS GAMING,1473
2020-06-03,False,INVICTUS GAMING,1473
2020-06-01,False,INVICTUS GAMING,1473
2020-05-31,False,INVICTUS GAMING,1473
2020-05-31,False,INVICTUS GAMING,1473
2020-05-31,True,INVICTUS GAMING,1473
2020-05-31,True,INVICTUS GAMING,1473
2020-05-30,False,Royal Never Give Up,1364
2020-05-30,False,Royal Never Give Up,1364
2020-05-30,False,CDEC ,1368
2020-05-30,False,CDEC ,1368
2020-05-29,True,CDEC ,1368
2020-05-29,False,Royal Never Give Up,1364
2020-05-28,False,Royal Never Give Up,1364
2020-05-28,True,Royal Never Give Up,1364
2020-05-27,False,Longinus,922
2020-05-27,False,Longinus,922
2020-05-27,False,Team Aster,1352
2020-05-26,False,Team Aster,1352
2020-05-24,False,CDEC ,1368
2020-05-23,False,CDEC ,1368
2020-05-23,True,CDEC ,1368
2020-05-22,False,Sparking Arrow Gaming,1215
2020-05-22,False,Sparking Arrow Gaming,1215
