lost,opponent,o_rank
False,Team Meteor,1010
False,Team Meteor,1010
True,Team Meteor,1010
False,Team Meteor,1010
False,Team Meteor,1010
False,Team Meteor,1010
False,TEAM Ethereal,1038
False,TEAM Ethereal,1038
True,TEAM Ethereal,1038
False,Team Honor,839
False,Team Honor,839
True,Team Honor,839
False,Immortal Gaming,1021
False,Immortal Gaming,1021
True,Immortal Gaming,1021
False,Team Meteor,1010
False,Team Meteor,1010
False,Team Galaxy,998
True,Team Galaxy,998
False,Team Galaxy,998
False,Team Destiny,1078
True,Team Destiny,1078
False,Team Destiny,1078
False,Vampire Gamig,1013
False,Vampire Gamig,1013
True,Revenge Gaming,1114
False,Revenge Gaming,1114
True,Revenge Gaming,1114
False,TEAM Ethereal,1038
False,TEAM Ethereal,1038
False,Team Honor,839
False,Team Honor,839
False,Team Honor,839
False,Team Sincere,993
False,Team Sincere,993
True,Team Sincere,993
False,Vampire Gamig,1013
True,Vampire Gamig,1013
False,Vampire Gamig,1013
False,Team Brave,932
False,Team Brave,932
