lost,opponent,o_rank
True,Adroit,1174
False,Adroit,1174
False,Reality Rift,1076
False,Reality Rift,1076
True,New Esports,1128
True,New Esports,1128
False,Execration,956
False,Execration,956
True,TNC Predator,1198
True,TNC Predator,1198
True,TNC Predator,1198
False,TNC Predator,1198
False,Reality Rift,1076
False,Reality Rift,1076
False,Execration,956
False,Execration,956
True,Geek Fam,1309
False,Geek Fam,1309
True,Neon Esports,1252
True,Neon Esports,1252
False,Cignal Ultra,911
False,Cignal Ultra,911
True,BOOM Esports,1314
True,BOOM Esports,1314
False,Adroit,1174
True,Fnatic,1391
True,Fnatic,1391
