lost,opponent,o_rank
False,New Esports,1128
True,New Esports,1128
True,Adroit,1174
False,Adroit,1174
True,Neon Esports,1252
False,Neon Esports,1252
True,Neon Esports,1252
False,T1,1180
False,T1,1180
False,T1,1180
True,T1,1180
False,Reality Rift,1076
False,Reality Rift,1076
False,Execration,956
False,Execration,956
False,Cignal Ultra,911
False,Cignal Ultra,911
False,Cignal Ultra,911
True,Neon Esports,1252
True,Neon Esports,1252
True,Team Sirius,1194
False,Team Sirius,1194
True,Team Sirius,1194
True,Team Sirius,1194
False,Clcombat Team,1149
False,Clcombat Team,1149
True,Dota Hero,1171
True,Team Sirius,1194
False,Geek Fam,1309
True,Geek Fam,1309
False,Team Sirius,1194
True,Team Sirius,1194
False,Dota Hero,1171
True,Dota Hero,1171
False,BOOM Esports,1314
True,BOOM Esports,1314
True,Adroit,1174
True,Adroit,1174
True,Ocean,1000
False,Ocean,1000
True,Fnatic,1391
False,Fnatic,1391
False,BOOM Esports,1314
False,BOOM Esports,1314
False,RISE Esport,1006
False,RISE Esport,1006
False,Reality Rift,1076
True,Reality Rift,1076
False,Reality Rift,1076
