lost,opponent,o_rank
False,NOVA,1133
False,NOVA,1133
False,NOVA,1133
False,miaww^^,1108
False,OG.Seed,1263
False,OG.Seed,1263
True,OG.Seed,1263
False,B8,1004
False,B8,1004
False,ViKin.gg,1286
False,ViKin.gg,1286
False,CYBERIUM.S,1011
False,CYBERIUM.S,1011
False,KHAN,1087
False,KHAN,1087
False,FAMILY TEAM,1119
False,FAMILY TEAM,1119
True,CYBERIUM.S,1011
True,CYBERIUM.S,1011
False,CYBERIUM.S,1011
False,FAMILY TEAM,1119
True,FAMILY TEAM,1119
False,FAMILY TEAM,1119
False,HellRaisers,1181
False,HellRaisers,1181
True,HellRaisers,1181
True,FlyToMoon,1355
True,FlyToMoon,1355
True,OG.Seed,1263
True,OG.Seed,1263
False,OG.Seed,1263
True,NOVA,1133
True,NOVA,1133
True,NOVA,1133
False,NOVA,1133
False,NOVA,1133
False,TEAM HEROIC,1060
False,TEAM HEROIC,1060
False,Team Solid,1026
False,Team Solid,1026
True,Winstrike Team,1104
False,Winstrike Team,1104
True,Winstrike Team,1104
False,TechPromBiz,1077
False,TechPromBiz,1077
False,Cyberium,978
False,Cyberium,978
True,OG.Seed,1263
True,OG.Seed,1263
True,NOVA,1133
False,NOVA,1133
True,NOVA,1133
