lost,opponent,o_rank
True,Nigma,1429
True,Nigma,1429
False,ViKin.gg,1286
False,ViKin.gg,1286
False,Team Unique,1144
False,Team Unique,1144
False,OG,1304
False,OG,1304
False,OG,1304
False,OG,1304
True,OG,1304
False,OG,1304
False,Nigma,1429
True,Nigma,1429
False,Nigma,1429
False,Alliance,1293
False,Alliance,1293
False,Alliance,1293
False,VP.Prodigy,1339
False,VP.Prodigy,1339
False,Nigma,1429
True,Nigma,1429
False,FlyToMoon,1355
False,FlyToMoon,1355
True,Alliance,1293
True,Alliance,1293
False,Alliance,1293
False,Nigma,1429
False,Nigma,1429
False,Natus Vincere,1210
False,Natus Vincere,1210
False,FAMILY TEAM,1119
False,FAMILY TEAM,1119
False,ViKin.gg,1286
False,ViKin.gg,1286
True,Team Unique,1144
True,Team Unique,1144
False,Gambit Esports,1090
False,Gambit Esports,1090
