lost,opponent,o_rank
True,Team Secret,1561
True,Team Secret,1561
True,OG,1304
False,OG,1304
True,OG,1304
True,B8,1004
True,B8,1004
True,Nigma,1429
True,Nigma,1429
True,ViKin.gg,1286
True,ViKin.gg,1286
True, EXTREMUM,1174
True, EXTREMUM,1174
False, EXTREMUM,1174
True,FlyToMoon,1355
True,FlyToMoon,1355
False,HellRaisers,1181
False,HellRaisers,1181
False,Winstrike Team,1104
False,Winstrike Team,1104
False,KHAN,1087
False,KHAN,1087
False,Gambit Esports,1090
False,Gambit Esports,1090
False,ViKin.gg,1286
False,ViKin.gg,1286
False,ViKin.gg,1286
True,Team Liquid,1345
True,Team Liquid,1345
True,Nigma,1429
True,Nigma,1429
False,Team Secret,1561
False,Team Secret,1561
True,Natus Vincere,1210
True,Natus Vincere,1210
True,Virtus.pro,1329
False,Virtus.pro,1329
True,Virtus.pro,1329
