lost,opponent,o_rank
False,4 Zoomers,1199
False,4 Zoomers,1199
False,beastcoast,1117
False,beastcoast,1117
False,CR4ZY,1163
False,CR4ZY,1163
True,Evil Geniuses,1217
False,Evil Geniuses,1217
True,business associates,1247
True,business associates,1247
False,Plasma1337x VitaPLUR gum,932
False,Plasma1337x VitaPLUR gum,932
True,Quincy Crew,1307
True,Quincy Crew,1307
True,Midas Club,926
False,Midas Club,926
True,EGOBOYS,1118
True,EGOBOYS,1118
False,Infamous Gaming,1137
False,Infamous Gaming,1137
True,0-900,1118
False,0-900,1118
True,0-900,1118
False,Evil Geniuses,1217
False,Evil Geniuses,1217
True,beastcoast,1117
True,beastcoast,1117
False,beastcoast,1117
True,Quincy Crew,1307
True,Quincy Crew,1307
True,business associates,1247
True,business associates,1247
True,CR4ZY,1163
False,CR4ZY,1163
True,CR4ZY,1163
