lost,opponent,o_rank
True,Team Secret,1561
True,Team Secret,1561
False,OG,1304
True,OG,1304
False,OG,1304
False,B8,1004
False,B8,1004
True,Nigma,1429
False,Nigma,1429
True,Nigma,1429
False,Team Unique,1144
False,Team Unique,1144
False,B8,1004
False,B8,1004
False, EXTREMUM,1174
True, EXTREMUM,1174
False, EXTREMUM,1174
True,Team Empire Hope,1299
True,Team Empire Hope,1299
False,Cyber Legacy,1105
True,Cyber Legacy,1105
False,Cyber Legacy,1105
False,B8,1004
False,B8,1004
True,FlyToMoon,1355
True,FlyToMoon,1355
False,FAMILY TEAM,1119
False,FAMILY TEAM,1119
True,FAMILY TEAM,1119
True,Team Unique,1144
True,Team Unique,1144
True,Team Unique,1144
True,Nigma,1429
False,Nigma,1429
True,Nigma,1429
True,Team Secret,1561
True,Team Secret,1561
False,Natus Vincere,1210
False,CR4ZY,1163
True,CR4ZY,1163
False,CR4ZY,1163
False,Team Liquid,1345
False,Team Liquid,1345
