lost,opponent,o_rank
True,4 Zoomers,1199
True,4 Zoomers,1199
False,Evil Geniuses,1217
False,Evil Geniuses,1217
False,Plasma1337x VitaPLUR gum,932
False,Plasma1337x VitaPLUR gum,932
True,Thunder Predator,1228
True,Thunder Predator,1228
True,Quincy Crew,1307
True,Quincy Crew,1307
True,PlusOne,1000
False,PlusOne,1000
True,CR4ZY,1163
True,CR4ZY,1163
False,Midas Club,926
True,Midas Club,926
True,business associates,1247
True,Quincy Crew,1307
False,Quincy Crew,1307
True,Quincy Crew,1307
False,Thunder Predator,1228
False,Thunder Predator,1228
True,Thunder Predator,1228
True,Evil Geniuses,1217
False,Evil Geniuses,1217
True,Evil Geniuses,1217
False,business associates,1247
True,business associates,1247
False,business associates,1247
True,CR4ZY,1163
False,CR4ZY,1163
True,CR4ZY,1163
