lost,opponent,o_rank
True,Evil Geniuses,1217
False,Evil Geniuses,1217
False,Plasma1337x VitaPLUR gum,932
False,Plasma1337x VitaPLUR gum,932
False,Midas Club,926
False,Midas Club,926
False,Thunder Predator,1228
False,Thunder Predator,1228
True,Quincy Crew,1307
False,Quincy Crew,1307
False,CR4ZY,1163
False,CR4ZY,1163
False,beastcoast,1117
False,beastcoast,1117
True,Evil Geniuses,1217
True,Evil Geniuses,1217
False,Evil Geniuses,1217
True,CR4ZY,1163
True,CR4ZY,1163
False,Evil Geniuses,1217
False,Evil Geniuses,1217
True,Evil Geniuses,1217
True,beastcoast,1117
False,beastcoast,1117
True,beastcoast,1117
False,Thunder Predator,1228
False,Thunder Predator,1228
True,Quincy Crew,1307
True,Quincy Crew,1307
False,Quincy Crew,1307
